time,macro_vol
2020-04-26 00:00:00+00:00,0.2765
2020-04-27 00:00:00+00:00,0.7172
2020-04-28 00:00:00+00:00,0.6257
2020-04-29 00:00:00+00:00,0.7602
2020-04-30 00:00:00+00:00,0.7811
2020-05-01 00:00:00+00:00,0.6458
2020-05-02 00:00:00+00:00,0.2265
2020-05-03 00:00:00+00:00,0.3155
2020-05-04 00:00:00+00:00,0.4625
2020-05-05 00:00:00+00:00,0.6106
2020-05-06 00:00:00+00:00,0.5505
2020-05-07 00:00:00+00:00,0.6031
2020-05-08 00:00:00+00:00,0.7578
2020-05-09 00:00:00+00:00,0.3055
2020-05-10 00:00:00+00:00,0.4636
2020-05-11 00:00:00+00:00,0.5321
2020-05-12 00:00:00+00:00,0.5708
2020-05-13 00:00:00+00:00,0.8045
2020-05-14 00:00:00+00:00,1.0172
2020-05-15 00:00:00+00:00,0.7104
2020-05-16 00:00:00+00:00,0.3589
2020-05-17 00:00:00+00:00,0.3975
2020-05-18 00:00:00+00:00,0.8435
2020-05-19 00:00:00+00:00,0.6747
2020-05-20 00:00:00+00:00,0.6318
2020-05-21 00:00:00+00:00,0.7176
2020-05-22 00:00:00+00:00,0.6414
2020-05-23 00:00:00+00:00,0.2978
2020-05-24 00:00:00+00:00,0.3153
2020-05-25 00:00:00+00:00,0.2382
2020-05-26 00:00:00+00:00,0.445
2020-05-27 00:00:00+00:00,0.4649
2020-05-28 00:00:00+00:00,0.5139
2020-05-29 00:00:00+00:00,0.5244
2020-05-30 00:00:00+00:00,0.2711
2020-05-31 00:00:00+00:00,0.2351
2020-06-01 00:00:00+00:00,0.3711
2020-06-02 00:00:00+00:00,0.3883
2020-06-03 00:00:00+00:00,0.4065
2020-06-04 00:00:00+00:00,0.4606
2020-06-05 00:00:00+00:00,0.4171
2020-06-06 00:00:00+00:00,0.2592
2020-06-07 00:00:00+00:00,0.207
2020-06-08 00:00:00+00:00,0.5486
2020-06-09 00:00:00+00:00,0.497
2020-06-10 00:00:00+00:00,0.9275
2020-06-11 00:00:00+00:00,1.0203
2020-06-12 00:00:00+00:00,0.8065
2020-06-13 00:00:00+00:00,0.3001
2020-06-14 00:00:00+00:00,0.32
2020-06-15 00:00:00+00:00,0.5739
2020-06-16 00:00:00+00:00,0.8236
2020-06-17 00:00:00+00:00,0.675
2020-06-18 00:00:00+00:00,0.6515
2020-06-19 00:00:00+00:00,0.4932
2020-06-20 00:00:00+00:00,0.3545
2020-06-21 00:00:00+00:00,0.2868
2020-06-22 00:00:00+00:00,0.4128
2020-06-23 00:00:00+00:00,0.3551
2020-06-24 00:00:00+00:00,0.3949
2020-06-25 00:00:00+00:00,0.4549
2020-06-26 00:00:00+00:00,0.5822
2020-06-27 00:00:00+00:00,0.3102
2020-06-28 00:00:00+00:00,0.2579
2020-06-29 00:00:00+00:00,0.4991
2020-06-30 00:00:00+00:00,0.5801
2020-07-01 00:00:00+00:00,0.5655
2020-07-02 00:00:00+00:00,0.4622
2020-07-03 00:00:00+00:00,0.2744
2020-07-04 00:00:00+00:00,0.2579
2020-07-05 00:00:00+00:00,0.2618
2020-07-06 00:00:00+00:00,0.5026
2020-07-07 00:00:00+00:00,0.5012
2020-07-08 00:00:00+00:00,0.4605
2020-07-09 00:00:00+00:00,0.4706
2020-07-10 00:00:00+00:00,0.4423
2020-07-11 00:00:00+00:00,0.2789
2020-07-12 00:00:00+00:00,0.2458
2020-07-13 00:00:00+00:00,0.4283
2020-07-14 00:00:00+00:00,0.5142
2020-07-15 00:00:00+00:00,0.612
2020-07-16 00:00:00+00:00,0.615
2020-07-17 00:00:00+00:00,0.4459
2020-07-18 00:00:00+00:00,0.2986
